Title	Tool Acronym	Body	Category	Tool URL	Code Repo	Project Info
3D Slicer		"3D Slicer is the free open source software for medical image visualization and analysis.
"	Imaging	https://www.slicer.org	https://github.com/Slicer	https://projectreporter.nih.gov/project_info_description.cfm?aid=8911287&icde=26361021&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Allele-Specific Alternative mRNA processing (ASARP)	ASARP	"A software pipeline for prediction of allele-specific alternative RNA processing events using single RNA-seq data. The current version focuses on prediction of alternative splicing and alternative polyadenylation modulated by genetic variants.
"	omics	https://www.ibp.ucla.edu/research/xiao/Software_files/ASARP/doc/asarp.html	https://github.com/cyruschan/ASARP	https://projectreporter.nih.gov/project_info_description.cfm?aid=9094132&icde=31346321&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Apache Clinical Text and Knowledge Extraction System (cTAKES)	cTAKES	"The tool extracts deep phenotypic information from the clinical narrative at the document-, episode-, and patient-level. The final output is FHIR compliant patient-level phenotypic summary which can be consumed by research warehouses or the DeepPhe native visualization tool.
"	Clinical	http://ctakes.apache.org	http://ctakes.apache.org/downloads.cgi	https://projectreporter.nih.gov/project_info_description.cfm?aid=8846080&icde=26360777&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Bioconductor		"Bioconductor provides tools for the analysis and comprehension of high-throughput genomic data. R/Bioconductor will be enhanced to meet the increasing complexity of multiassay cancer genomics experiments.
"	Omics	https://www.bioconductor.org	http://bioconductor.org/developers/how-to/git/	https://projectreporter.nih.gov/project_info_description.cfm?aid=9122328&icde=31346456&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Cancer and Phenomics Toolkit (CaPTK)	CaPTK	"CaPTk is a tool that facilitates translation of highly sophisticated methods that help us gain a comprehensive understanding of the underlying mechanisms of cancer from medical imaging research to the clinic. It replicates basic interactive functionalities of radiological workstations and is distributed under a BSD-style license.
"	Imaging	http://captk.projects.nitrc.org		https://projectreporter.nih.gov/project_info_description.cfm?aid=9135254&icde=31346725&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC
Cancer Slide Digital Archive (CDSA)	CDSA	"The CDSA is a web-based platform to support the sharing, managment and analysis of digital pathology data. The Emory Instance currently hosts over 23,000 images from The Cancer Genome Atlas, and the software is being developed within the ITCR grant to be deployable as a digital pathology platform for other labs and Cancer Institutes.
"	Imaging	http://cancer.digitalslidearchive.net		https://projectreporter.nih.gov/project_info_description.cfm?aid=9059053&icde=31347257
Cancer-Related Analysis of Variants Toolkit (CRAVAT)	CRAVAT	"CRAVAT is an easy to use web-based tool for analysis of cancer variants (missense, nonsense, in-frame indel, frameshift indel, splice site). CRAVAT provides scores and a variety of annotations that assist in identification of important variants. Results are provided in an interactive, highly graphical webpage and include annotated 3D structure visualization.  CRAVAT is also available for local or cloud-based installation as a Docker container.
"	Omics	http://www.cravat.us/CRAVAT/	https://github.com/KarchinLab/CRAVAT	https://projectreporter.nih.gov/project_info_description.cfm?aid=8910262&icde=26360419&ddparam=&ddvalue=&ddsub=&cr=4&csb=default&cs=ASC
Cistrome		"Curated and processed human/mouse ChIP/DNase-seq datasets in GEO, allowing users to search, browse, download ChIP-seq data signals, peaks, QC, motifs, target genes and similar datasets.
"	Omics	http://cistrome.org/Cistrome/Cistrome_Project.html		https://projectreporter.nih.gov/project_info_description.cfm?aid=8911797&icde=26360449&ddparam=&ddvalue=&ddsub=&cr=3&csb=default&cs=ASC
Clinical Interpretation of Variants in Cancer (CIViC) Knowledgebase	CIViC	"CIViC is an open access, open source, community-driven web resource for Clinical Interpretation of Variants in Cancer. Our goal is to enable precision medicine by providing an educational forum for dissemination of knowledge and active discussion of the clinical significance of cancer genome alterations.
"	"Omics, Clinical"	https://civic.genome.wustl.edu/home	https://github.com/griffithlab	https://projectreporter.nih.gov/project_info_description.cfm?aid=9186150&icde=34608086
Cores Of Recurrent Events (CORE)	CORE	"CORE is a statistically supported computational method for finding recurrently targeted regions in massive collections of genomic intervals, such as those arising from DNA copy number analysis of single tumor cells or bulk tumor tissues.
"	Omics		http://cran.us.r-project.org/web/packages/CORE/	https://projectreporter.nih.gov/project_info_description.cfm?aid=8875279&icde=26360011&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
D2Refine		"D2Refine is an integrated platform that enables cancer study data/metadata harmonization and quality assurance. The platform is based on the Open Refine and enhanced with a suite of plugins.
"	Data Standards	https://github.com/caCDE-QA/D2Refine/wiki	https://github.com/caCDE-QA/D2Refine	https://projectreporter.nih.gov/project_info_description.cfm?aid=8913908&icde=26360245&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
DICOM ToolKit (DCMTK)	DCMTK	"DCMTK is an open source DICOM toolkit.
"	"Imaging, Data Standards"	http://dicom.offis.de/dcmtk.php.en	http://git.dcmtk.org	https://projectreporter.nih.gov/project_info_description.cfm?aid=8911287&icde=26361021&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Enhancer Linking by Methylation/Expression Relationships (ELMER)	ELMER	"R tool for analysis of DNA methylation and expression datasets. Integrative analysis allows reconstruction of in vivo transcription factor networks altered in cancer along with identification of the underlying gene regulatory sequences.
"	Omics	http://bioconductor.org/packages/release/bioc/html/ELMER.html	https://github.com/lijingya/ELMER	https://projectreporter.nih.gov/project_info_description.cfm?aid=9126967&icde=26360309&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Feature DB		"The backend database to manage segmentation results, computed image features and annotations. FeatureDB drives the database for the QUIP web-platform.
"	Imaging		https://github.com/SBU-BMI/pathomics_featuredb	https://projectreporter.nih.gov/project_info_description.cfm?aid=8916055&icde=26360665&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Galaxy-P multiOmics	Galaxy-P	"A unified platform for integrative genomic-proteomic-metabolomic data analysis and informatics in cancer research.
"	Omics	http://galaxyp.org	https://github.com/galaxyproteomics/tools-galaxyp	https://projectreporter.nih.gov/project_info_description.cfm?aid=9092938&icde=30174147&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
GenePattern		"GenePattern is a genomic analysis platform that provides access to hundreds of tools for the analysis and visualization of multiple data types. A web-based interface provides easy access to these tools and allows the creation of multi-step analysis pipelines that enable reproducible in silico research. A new GenePattern Notebook environment allows users to combine GenePattern analyses with text, graphics, and code to create complete reproducible research narratives.
"	Omics	http://software.broadinstitute.org/cancer/software/genepattern/	https://github.com/genepattern/genepattern-server	https://projectreporter.nih.gov/project_info_description.cfm?aid=8872242&icde=26360601&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC
Genome-Independent Identification of RNA Editing by Mutual Information (GIREMI)	GIREMI	"Identification of single-nucleotide variants in RNA-seq data. Current version focuses on detection of RNA editing sites without requiring genome sequence data. New version is under development to separately identify RNA editing sites and genetic variants using RNA-seq data alone.
"	Omics		https://github.com/zhqingit/giremi	https://projectreporter.nih.gov/project_info_description.cfm?aid=9094132&icde=29213081
Integrative Genomics Viewer (IGV)	IGV	"The Integrative Genomics Viewer (IGV) is a high-performance visualization tool for interactive exploration of large, integrated genomic datasets. It supports a wide variety of data types, including array-based and next-generation sequence data, and genomic annotations.
"	Omics	http://www.igv.org	https://github.com/igvteam	https://projectreporter.nih.gov/project_info_description.cfm?aid=9186440&icde=31348675&ddparam=&ddvalue=&ddsub=&cr=5&csb=default&cs=ASC
LSTM-CRF		"LSTM-CRF uses Natural Language Processing methods for detecting Adverse Drug Events, Drugname, Indication and other medically relevant information from Electronic Health Records. It implements Recurrent Neural Networks using several CRF based inference methods.
"	Omics		https://github.com/abhyudaynj/LSTM-CRF-models	https://projectreporter.nih.gov/project_info_description.cfm?aid=8913078
Methylation Integration (Mint)	Mint	"A comprehensive software pipeline and set of Galaxy tools/workflows for integrative analysis of genome-wide DNA methylation and hydroxymethylation data. Data types can be either bisulfite sequencing and/or pull-down methods.
"	Omics	https://github.com/sartorlab/mint	https://github.com/sartorlab/mint	https://projectreporter.nih.gov/project_info_description.cfm?aid=9093942
"Modified UMS, Modified SemRep and SemMedDB-UTH"		"Modified UMLS, modified SemRep and SemMedDB-UTH – these are resources (UMLS, SemMedDB-UT) and tools (SemRep) created and maintained by National Library of Medicine that we have modified for personalized cancer therapy and returned to the NLM.
"	"Clinical, Omics"	https://skr3.nlm.nih.gov/SemMedDB/index_uth.html		https://projectreporter.nih.gov/project_info_description.cfm?aid=8904309&icde=26360351&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
