Bait	Bait Mutation Status and/or Drug Condition	Prey	AvePSM	Z	WD	Entropy	Prey Gene Name	
AKT1	E17K	P31749	66.33333333	14.10290547	47.87343167	1.584817743	AKT1	#VALUE!
AKT1	E17K	Q14532	4.666666667	Inf	NA	1.578392733	KRT32	
AKT1	E17K	Q86VP6	3.666666667	1.994247141	1.970948199	1.392147224	CAND1	
AKT1	E17K	P49759	3.333333333	2.180363108	1.707010633	1.573355385	CLK1	
AKT1	E17K	Q92979	2.666666667	2.546007948	3.235372041	1.566367267	EMG1	
AKT1	E17K	P33764	2.333333333	Inf	NA	1.56320209	S100A3	
AKT1	E17K	Q9NQ50	2	1.669025054	2.569214467	1.584962501	MRPL40	
AKT1	WT	P31749	47.33333333	9.979534206	40.44009748	1.584470205	AKT1	
AKT1	WT	Q86VP6	3	1.520475721	1.782789725	1.541007871	CAND1	
AKT1	WT	Q9H0S4	2.666666667	3.508827967	3.684298042	1.566367267	DDX47	
AKT1	WT	Q7Z7F7	2.333333333	4.559074531	3.207813627	1.483355755	MRPL55	
AKT1	WT	Q92979	2.333333333	2.156405308	3.026413424	1.56320209	EMG1	
AKT1	WT	Q9NQ50	2.333333333	2.026080166	2.775068793	1.56320209	MRPL40	
AKT1	WT	Q6ZUT6	2.333333333	2.436261751	1.503990562	1.56320209	C15orf52	
AKT1	WT	O43768	2	6.488465064	11.05623858	1.584962501	ENSA	
AKT2	WT	P31751	80.33333333	20.87476583	43.51853711	1.584342262	AKT2	
AKT2	WT	P31749	13	2.528529992	21.19338488	1.576619716	AKT1	
AKT2	WT	O00233	3	5.624793335	7.109843828	1.541007871	PSMD9	
AKT2	WT	Q96TA2	2.333333333	5.017285839	3.672535188	1.56320209	YME1L1	
AKT2	WT	P67812	2	2.694845797	1.947433318	1.493709546	SEC11A	
AKT3	E17K	Q9Y243	88.66666667	31.12699121	36.13863711	1.583679686	AKT3	
AKT3	E17K	Q86VP6	4	2.231132851	2.058588255	1.478534948	CAND1	
AKT3	E17K	P07203	2	1.661990264	1.994739151	1.493709546	GPX1	
AKT3	E17K	Q68D10	2	2.265468323	1.690072566	1.493709546	SPTY2D1	
AKT3	WT	Q9Y243	74.33333333	26.06464564	33.08898026	1.583478584	AKT3	
AKT3	WT	P31751	13	3.162719723	17.50644929	1.577028937	AKT2	
AKT3	WT	Q86VP6	7.333333333	4.599989953	2.787341674	1.547620941	CAND1	
AKT3	WT	Q14532	3.333333333	Inf	NA	1.573355385	KRT32	
AKT3	WT	P07203	3	2.761460746	2.443046545	1.433176173	GPX1	
AKT3	WT	Q14123	2.666666667	3.839645019	20.55134843	1.566367267	PDE1C	
AKT3	WT	P40763	2.666666667	2.000406787	1.798551204	1.360388078	STAT3	
AKT3	WT	P33764	2.333333333	Inf	NA	1.483355755	S100A3	
AKT3	WT	O95757	2	3.982943073	25.92133519	1.584962501	HSPA4L	
AKT3	WT	Q53GA4	2	5.807625933	3.019558118	1	PHLDA2	
AKT3	WT	Q27J81	2	1.957727349	2.921119524	1.493709546	INF2	
AKT3	WT	Q92688	2	2.538645659	2.129905547	1.493709546	ANP32B	
AKT3	WT	P51858	2	1.957727349	1.784629519	1.493709546	HDGF	
AKT3	WT	Q96AE4	2	2.913747155	1.75194334	0.881290899	FUBP1	
ARID1A	WT	O14497	103.6666667	419.2880904	48.92225043	1.583534732	ARID1A	
ARID1A	WT	P35580	41	1.816495558	9.627901433	1.583011243	MYH10	
ARID1A	WT	Q92922	35.33333333	39.52763726	8.455041164	1.581111565	SMARCC1	
ARID1A	WT	O00159	31	2.364572131	7.859238785	1.56605378	MYO1C	
ARID1A	WT	P51532	23.33333333	53.45174597	8.04040871	1.584677624	SMARCA4	
ARID1A	WT	Q8TAQ2	22.66666667	25.40656804	5.613449843	1.584657981	SMARCC2	
ARID1A	WT	O43795	20.33333333	1.824891114	12.33793021	1.580004187	MYO1B	
ARID1A	WT	Q9UM54	17.66666667	1.61422365	40.43581175	1.578623921	MYO6	
ARID1A	WT	Q92785	14.33333333	98.11851761	280.7258036	1.584222764	DPF2	
ARID1A	WT	Q92925	12.66666667	86.69242661	122.6497818	1.584005556	SMARCD2	
ARID1A	WT	O96019	12	21.76367708	3.595884158	1.575705437	ACTL6A	
ARID1A	WT	Q12824	11	Inf	NA	1.574020489	SMARCB1	
ARID1A	WT	Q969G3	11	11.66999132	4.930937166	1.584962501	SMARCE1	
ARID1A	WT	P51114	10.66666667	1.440968039	5.215666642	1.575523802	FXR1	
ARID1A	WT	Q9ULV4	8.333333333	1.631737959	2.178033288	1.570222911	CORO1C	
ARID1A	WT	Q86UE4	7	1.865355306	2.118887163	1.524837932	MTDH	
ARID1A	WT	P51531	5.666666667	Inf	NA	1.552594267	SMARCA2	
ARID1A	WT	Q96GM5	5.666666667	38.70284441	114.6474664	1.528922297	SMARCD1	
ARID1A	WT	Q5SSJ5	4.666666667	1.450882675	13.46546476	1.537855236	HP1BP3	
ARID1A	WT	Q6STE5	4.333333333	Inf	NA	1.534326469	SMARCD3	
ARID1A	WT	Q8TDN6	3	1.71640027	30.75339477	1.541007871	BRIX1	
ARID1A	WT	Q8WUZ0	2.333333333	6.708238392	1665.231524	1.56320209	BCL7C	
ARID1A	WT	P24844	2.333333333	2.344391127	7.47364059	1.56320209	MYL9	
ARID1A	WT_Eto	Q15149	133.3333333	3.160145224	1.63088701	1.58343404	PLEC	
ARID1A	WT_Eto	O14497	82	331.6015408	43.51047109	1.584045138	ARID1A	
ARID1A	WT_Eto	P35580	47.66666667	2.166537752	10.38118901	1.584892764	MYH10	
ARID1A	WT_Eto	O00159	38.66666667	3.038649788	8.777442726	1.57938716	MYO1C	
ARID1A	WT_Eto	O43795	29.33333333	2.77243073	14.81899419	1.582089172	MYO1B	
ARID1A	WT_Eto	Q92922	27.66666667	30.83043069	7.481726701	1.584757211	SMARCC1	
ARID1A	WT_Eto	Q9UM54	26.33333333	2.525767689	49.36757298	1.579197803	MYO6	
ARID1A	WT_Eto	P51532	21.33333333	48.8365003	7.688101217	1.57960135	SMARCA4	
ARID1A	WT_Eto	Q8TAQ2	18	20.08082042	5.002329213	1.575148592	SMARCC2	
ARID1A	WT_Eto	P11388	16.66666667	1.553937872	10.05582135	1.567094995	TOP2A	
ARID1A	WT_Eto	Q6WCQ1	15.66666667	1.615183154	13.35836407	1.58249052	MPRIP	
ARID1A	WT_Eto	Q92785	14.33333333	98.11851761	280.7258036	1.579793433	DPF2	
ARID1A	WT_Eto	Q9NYL9	11.66666667	2.567953033	3.763599088	1.554299313	TMOD3	
ARID1A	WT_Eto	Q9P0K7	11.33333333	1.62938833	12.28992909	1.580153759	RAI14	
ARID1A	WT_Eto	Q9ULV4	11.33333333	2.386907715	2.540001465	1.562730671	CORO1C	
ARID1A	WT_Eto	O96019	10.33333333	18.64129362	3.336839278	1.583567627	ACTL6A	
ARID1A	WT_Eto	Q92925	9.666666667	66.12546281	107.145511	1.578679627	SMARCD2	
ARID1A	WT_Eto	Q16643	9.666666667	3.33361963	86.02550683	1.573517241	DBN1	
ARID1A	WT_Eto	Q12824	8	Inf	NA	1.584962501	SMARCB1	
ARID1A	WT_Eto	Q0ZGT2	7.333333333	3.596477044	43.51680215	1.566146831	NEXN	
ARID1A	WT_Eto	Q969G3	6	6.140862368	3.641738446	1.572923025	SMARCE1	
ARID1A	WT_Eto	P47755	5.666666667	3.203330694	2.064782431	1.552594267	CAPZA2	
ARID1A	WT_Eto	P51531	4.666666667	Inf	NA	1.578392733	SMARCA2	
ARID1A	WT_Eto	Q96GM5	4.333333333	29.56197161	100.256301	1.553763114	SMARCD1	
ARID1A	WT_Eto	Q12965	4	1.561356851	138.9625815	1.414164757	MYO1E	
ARID1A	WT_Eto	Q8TDN6	3.333333333	1.938633913	32.41692442	1.573355385	BRIX1	
ARID1A	WT_Eto	Q9Y2D5	3.333333333	1.722296081	4.741694867	1.533396631	AKAP2	
ARID1A	WT_Eto	P06396	3	2.001638275	6.1741346	1.541007871	GSN	
ARID1A	WT_Eto	Q12792	2.666666667	2.139353209	42.8102837	1.566367267	TWF1	
ARID1A	WT_Eto	Q6STE5	2.333333333	Inf	NA	1.483355755	SMARCD3	
ARID1A	WT_Eto	P24844	2.333333333	2.344391127	7.47364059	1.56320209	MYL9	
BAF60A	WT	O14497	29	117.1067503	25.87532767	1.584403497	ARID1A	
BAF60A	WT	Q92922	28.66666667	31.96484894	7.615738429	1.584205723	SMARCC1	
BAF60A	WT	Q96GM5	20.33333333	139.2524452	217.1725438	1.58235316	SMARCD1	
BAF60A	WT	Q8TAQ2	20	22.36328369	5.272917973	1.581526225	SMARCC2	
BAF60A	WT	P51532	17.66666667	40.37521657	6.996277712	1.571290032	SMARCA4	
BAF60A	WT	Q92785	11.33333333	77.55155381	249.6247048	1.576807937	DPF2	
BAF60A	WT	O96019	9.333333333	16.76786354	3.171271742	1.573103505	ACTL6A	
BAF60A	WT	Q969G3	8	8.352513949	4.205117345	1.578020848	SMARCE1	
BAF60A	WT	Q12824	5.666666667	Inf	NA	1.580419993	SMARCB1	
BAF60A	WT	P51531	4.333333333	Inf	NA	1.577759502	SMARCA2	
BAF60A	WT	Q9NZM4	3.333333333	Inf	NA	1.502855774	GLTSCR1	
BAF60A	WT_Eto	Q92922	26.66666667	29.69601244	7.345270386	1.582132863	SMARCC1	
BAF60A	WT_Eto	O14497	22.66666667	91.47529738	22.87603162	1.582825103	ARID1A	
BAF60A	WT_Eto	Q8TAQ2	19.66666667	21.98287314	5.228792361	1.584559469	SMARCC2	
BAF60A	WT_Eto	Q96GM5	18	123.2559178	204.3322329	1.580742164	SMARCD1	
BAF60A	WT_Eto	P51532	15.33333333	34.99076328	6.517904924	1.580430077	SMARCA4	
BAF60A	WT_Eto	Q92785	10.66666667	72.98111741	242.1715353	1.583623703	DPF2	
BAF60A	WT_Eto	O96019	9	16.14338685	3.11412703	1.579431373	ACTL6A	
BAF60A	WT_Eto	Q969G3	7.333333333	7.615296755	4.026093337	1.573692105	SMARCE1	
BAF60A	WT_Eto	Q12824	4.333333333	Inf	NA	1.443157985	SMARCB1	
